title,author(s),length
Demon Copperhead,Barbara Kingsolver,Length: 21 hrs and 3 mins
The Titan's Curse,Rick Riordan,Length: 8 hrs and 48 mins
Dune,Frank Herbert,Length: 21 hrs and 2 mins
Murtagh,Christopher Paolini,Length: 24 hrs and 32 mins
Room Mates,Kendall Ryan,Length: 20 hrs and 23 mins
Mafia Virgin,Mila Finelli,Length: 12 hrs and 39 mins
A Court of Thorns and Roses,Sarah J. Maas,Length: 16 hrs and 7 mins
The Apparatus,Jack Slater,Length: 13 hrs and 10 mins
Chosen Destiny,Jen L. Grey,Length: 10 hrs and 49 mins
Spare,Prince Harry The Duke of Sussex,Length: 15 hrs and 39 mins
Midnight at the Christmas Bookshop,Jenny Colgan,Length: 10 hrs and 45 mins
Oath and Honor,Liz Cheney,Length: 12 hrs and 14 mins
The Hero of Ages,Brandon Sanderson,Length: 27 hrs and 25 mins
Marked by Magic,Lindsay Buroker,Length: 10 hrs and 12 mins
Nemesis,Jeremy Robinson,Length: 10 hrs and 33 mins
Same Time Next Year,Tessa Bailey,Length: 4 hrs and 14 mins
Prequel,Rachel Maddow,Length: 13 hrs and 9 mins
EWB (Enemies with Benefits),N.R. Walker,Length: 10 hrs and 15 mins
The Return of the King,J. R. R. Tolkien,Length: 21 hrs and 52 mins
The Christmas Bookshop,Jenny Colgan,Length: 11 hrs and 23 mins
How to Lose a Guy Before Christmas,A.J. Pine,Length: 5 hrs and 24 mins
Real Estate LLC Quick Launch Formula,Alec Rowe,Length: 4 hrs and 22 mins
Project Hail Mary,Andy Weir,Length: 16 hrs and 10 mins
The Woman in Me,Britney Spears,Length: 5 hrs and 31 mins
The Hobbit,J. R. R. Tolkien,Length: 10 hrs and 25 mins
Go Tell the Bees That I Am Gone,Diana Gabaldon,Length: 49 hrs and 27 mins
A Game of Thrones,George R.R. Martin,Length: 33 hrs and 46 mins
The Lost Portal,Vaughn Heppner,Length: 12 hrs and 43 mins
The Dragon's Blade Trilogy,Michael R. Miller,Length: 45 hrs and 58 mins
The Blackthorn Queen,Melanie Karsak,Length: 9 hrs and 1 min
Hidden in Brutal Devotion,BJ Alpha,Length: 5 hrs and 34 mins
Be Useful,Arnold Schwarzenegger,Length: 6 hrs and 19 mins
Rose,Cebelius,Length: 9 hrs and 32 mins
Breaking the Habit of Being Yourself,Joe Dispenza,Length: 10 hrs and 49 mins
Confessions of an Accidental Lawyer,Michael Stockham,Length: 8 hrs and 56 mins
Die Trying,Lee Child,Length: 14 hrs and 19 mins
Outlive,"Peter Attia MD,Bill Gifford - contributor",Length: 17 hrs and 7 mins
Torrent Witches Cozy Mysteries Complete Box Set: Books 1-10,Tess Lake,Length: 65 hrs and 31 mins
Glitterland,Alexis Hall,Length: 9 hrs and 5 mins
Revenge Era,Brittanee Nicole,Length: 5 hrs and 10 mins
101 Ways to Die,R.J. Blain,Length: 8 hrs
The Beast Must Die,Nicholas Blake,Length: 7 hrs and 57 mins
When Gracie Met The Grump,Mariana Zapata,Length: 19 hrs and 20 mins
The Subtle Art of Not Giving a F*ck,Mark Manson,Length: 5 hrs and 17 mins
Book of the Dead 2: Sacrifice,RinoZ,Length: 16 hrs and 31 mins
The Body Keeps the Score,Bessel A. van der Kolk,Length: 16 hrs and 15 mins
Sex Education for Teenagers,Riley Rhodes,Length: 3 hrs and 38 mins
The Crown of Gilded Bones,Jennifer L. Armentrout,Length: 25 hrs and 22 mins
Think and Grow Rich,Napoleon Hill,Length: 9 hrs and 35 mins
Redeeming Love,Francine Rivers,Length: 17 hrs and 17 mins
True Believer,Jack Carr,Length: 15 hrs and 44 mins
Siege,Deacon Frost,Length: 11 hrs and 10 mins
Children of Ash and Elm,Neil Price,Length: 17 hrs and 25 mins
How to Talk to Anyone,Leil Lowndes,Length: 8 hrs and 59 mins
Dragon Blood - Omnibus,Lindsay Buroker,Length: 27 hrs and 34 mins
Renegade,Sarah Hawke,Length: 11 hrs and 37 mins
Defiance of the Fall 4: A LitRPG Adventure,"TheFirstDefier,JF Brink",Length: 22 hrs and 47 mins
He Who Fights with Monsters 8,"Shirtaloon,Travis Deverell",Length: 18 hrs and 12 mins
The Hobbit,J. R. R. Tolkien,Length: 11 hrs and 5 mins
He Who Fights with Monsters 5,"Shirtaloon,Travis Deverell",Length: 20 hrs and 5 mins
All I've Wanted All I've Needed,A.E. Valdez,Length: 8 hrs and 25 mins
The Alpha's Fated Encounter,Roxie Ray,Length: 21 hrs and 54 mins
Snowed In,Catherine Walsh,Length: 10 hrs and 38 mins
Finn Rhodes Forever,Stephanie Archer,Length: 10 hrs and 8 mins
Dune Messiah,Frank Herbert,Length: 8 hrs and 57 mins
Butcher & Blackbird,Brynne Weaver,Length: 8 hrs and 43 mins
The Hidden History of the Boston Tea Party,"Adam Jortner,The Great Courses",Length: 2 hrs and 56 mins
The Armor of Light,Ken Follett,Length: 21 hrs and 39 mins
Star Wars: The Eye of Darkness (The High Republic),George Mann,Length: 15 hrs and 22 mins
Dreamland,Nicholas Sparks,Length: 9 hrs and 47 mins
Fall of Radiance,Blake Arthur Peel,Length: 50 hrs and 59 mins
Starsight,Brandon Sanderson,Length: 14 hrs and 30 mins
"Hustle Harder, Hustle Smarter",Curtis 50 Cent Jackson,Length: 8 hrs and 16 mins
Dark Voyage Matters of the Heart,I. T. Lucas,Length: 8 hrs and 19 mins
How Memory Works and Why Your Brain Remembers Wrong,"Gabrielle F. Principe,The Great Courses",Length: 5 hrs and 47 mins
Remarkably Bright Creatures,Shelby Van Pelt,Length: 11 hrs and 16 mins
Blood Ties,Alexey Osadchuk,Length: 8 hrs and 39 mins
The Trackers Series Box Set,Nicholas Sansbury Smith,Length: 33 hrs and 59 mins
He Who Fights with Monsters 10,"Shirtaloon,Travis Deverell",Length: 25 hrs and 18 mins
The Creative Act,Rick Rubin,Length: 5 hrs and 45 mins
Path of Tyrants,"J.N. Chaney,Terry Maggert",Length: 10 hrs and 32 mins
Spelling Sight Words for Kids: 3rd Grade Part II,Anne S. Benjamin,Length: 3 hrs and 39 mins
Ready Player One,Ernest Cline,Length: 15 hrs and 40 mins
Can't Hurt Me,David Goggins,Length: 13 hrs and 37 mins
Way to the North,Kirill Klevanski,Length: 16 hrs and 5 mins
Dragon's Midlife Soulmate,Meg Ripley,Length: 4 hrs and 41 mins
There's Something About Magic,Lily Harper Hart,Length: 7 hrs and 22 mins
Atomic Habits,James Clear,Length: 5 hrs and 35 mins
The Psychology of Money,Morgan Housel,Length: 5 hrs and 48 mins
Berkley Street Series Books 1 - 9,Ron Ripley,Length: 66 hrs and 14 mins
Slow Productivity,Cal Newport,Length: 9 hrs and 30 mins
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,Length: 13 hrs and 52 mins
Simply the Best,Susan Elizabeth Phillips,Length: 12 hrs
The Keeper Origins: The Complete Trilogy,JA Andrews,Length: 75 hrs and 48 mins
Tell It to My Heart,Siobhan Davis,Length: 10 hrs and 8 mins
A Game of Hearts and Heists,Ruby Roe,Length: 12 hrs and 38 mins
Sex Stories for Adults,Red Petru,Length: 21 hrs and 59 mins
The Last Raid,Michael Stephen Fuchs,Length: 10 hrs and 54 mins
The Ashes and the Star-Cursed King,Carissa Broadbent,Length: 18 hrs and 57 mins
Genefather,Guy Haley,Length: 10 hrs and 14 mins
C. S. Lewis Essential Audio Library,C. S. Lewis,Length: 38 hrs and 50 mins
Two Minute Warning,Alexandra Warren,Length: 7 hrs and 56 mins
The Playboy,Marni Mann,Length: 10 hrs
Percy Jackson and the Olympians: The Chalice of the Gods,Rick Riordan,Length: 7 hrs and 5 mins
The Eye of the World,Robert Jordan,Length: 29 hrs and 57 mins
Slayers: A Buffyverse Story,"Christopher Golden,Amber Benson",Length: 8 hrs and 2 mins
The Rose Codes: Book of Initiations,Mariya Nurislamova,Length: 20 hrs and 18 mins
Will Trent: Books 5-7,Karin Slaughter,Length: 42 hrs
How to Win Friends & Influence People,Dale Carnegie,Length: 7 hrs and 15 mins
Ofertas de $100M [$100M Deals],Alex Hormozi,Length: 5 hrs and 34 mins
Dungeon Diving 104,Bruce Sentar,Length: 11 hrs and 50 mins
Things We Hide from the Light,Lucy Score,Length: 17 hrs and 36 mins
Never Split the Difference,Chris Voss,Length: 8 hrs and 7 mins
A Breath of Snow and Ashes,Diana Gabaldon,Length: 57 hrs and 48 mins
The 12 Week Year,"Brian P. Moran,Michael Lennington",Length: 5 hrs and 17 mins
A Game of Hearts and Heists,Ruby Roe,Length: 12 hrs and 38 mins
Sex Stories for Adults,Red Petru,Length: 21 hrs and 59 mins
The Last Raid,Michael Stephen Fuchs,Length: 10 hrs and 54 mins
The Ashes and the Star-Cursed King,Carissa Broadbent,Length: 18 hrs and 57 mins
Genefather,Guy Haley,Length: 10 hrs and 14 mins
C. S. Lewis Essential Audio Library,C. S. Lewis,Length: 38 hrs and 50 mins
Two Minute Warning,Alexandra Warren,Length: 7 hrs and 56 mins
The Playboy,Marni Mann,Length: 10 hrs
Percy Jackson and the Olympians: The Chalice of the Gods,Rick Riordan,Length: 7 hrs and 5 mins
The Eye of the World,Robert Jordan,Length: 29 hrs and 57 mins
Slayers: A Buffyverse Story,"Christopher Golden,Amber Benson",Length: 8 hrs and 2 mins
The Rose Codes: Book of Initiations,Mariya Nurislamova,Length: 20 hrs and 18 mins
Will Trent: Books 5-7,Karin Slaughter,Length: 42 hrs
How to Win Friends & Influence People,Dale Carnegie,Length: 7 hrs and 15 mins
Ofertas de $100M [$100M Deals],Alex Hormozi,Length: 5 hrs and 34 mins
Dungeon Diving 104,Bruce Sentar,Length: 11 hrs and 50 mins
Things We Hide from the Light,Lucy Score,Length: 17 hrs and 36 mins
Never Split the Difference,Chris Voss,Length: 8 hrs and 7 mins
A Breath of Snow and Ashes,Diana Gabaldon,Length: 57 hrs and 48 mins
The 12 Week Year,"Brian P. Moran,Michael Lennington",Length: 5 hrs and 17 mins
